	x
1	YGL255W
2	YLR134W
3	YHR216W
4	YOL020W
5	YBR069C
6	YER064C
7	YDR046C
8	YOR095C
9	YGL147C
10	YMR116C
11	YDR508C
12	YCL036W
13	YML056C
14	YBR189W
15	YJR123W
16	YOR108W
17	YNL112W
18	YGR234W
19	YJL177W
20	YBR092C
21	YER131W
22	YGL123W
23	YCR087W
24	YPL273W
25	YML063W
26	YKL006W
27	YBR048W
28	YDL227C
29	YEL054C
30	YBR191W
31	YEL040W
32	YBR030W
33	YDR382W
34	YER074W
35	YDL229W
36	YKL180W
37	YBL081W
38	YDL082W
39	YOR063W
40	YNL069C
41	YJR145C
42	YKR093W
43	YPL263C
44	YBL039C
45	YKL081W
46	YPL131W
47	YDL075W
48	YKL128C
49	YGL031C
50	YDR144C
51	YOR272W
52	YIL018W
53	YMR242C
54	YLL045C
55	YDL182W
56	YIR034C
57	YLR406C
58	YPL245W
59	YJL158C
60	YCR034W
61	YOR369C
62	YGR034W
63	YNL302C
64	YLR048W
65	YBR031W
66	YDL083C
67	YIL158W
68	YFR031C-A
69	YAL059W
70	YDR384C
71	YJL122W
72	YOR312C
73	YOR096W
74	YOR224C
75	YIL094C
76	YHR197W
77	YNL175C
78	YNL248C
79	YBL092W
80	YML073C
81	YOR315W
82	YGR123C
83	YDR471W
84	YGR177C
85	YHR010W
86	YHR089C
87	YKR057W
88	YNL169C
89	YBR084W
90	YMR143W
91	YLR222C
92	YDR064W
93	YJL088W
94	YGR128C
95	YCR031C
96	YDR450W
97	YNL062C
98	YOR340C
99	YOR309C
100	YLR060W
101	YLR340W
102	YLR186W
103	YGL076C
104	YDR418W
105	YHL015W
106	YLR372W
107	YKL033W-A
108	YDR449C
109	YDL081C
110	YMR093W
111	YOL127W
112	YPR074C
113	YLR175W
114	YMR142C
115	YIL079C
116	YOL154W
117	YPR102C
118	YEL053W-A
119	YOL039W
120	YPL227C
121	YIL127C
122	YOR293W
123	YER156C
124	YLR003C
125	YLR150W
126	YBL002W
127	YOR342C
128	YAL025C
129	YNL182C
130	YMR307W
131	YBR029C
132	YNL075W
133	YPR145W
134	YLL011W
135	YDR497C
136	YDR025W
137	YBR079C
138	YLR062C
139	YHR203C
140	YOR287C
141	YML052W
142	YIR026C
143	YBL027W
144	YPR132W
145	YIL133C
146	YNL178W
147	YHR019C
148	YDR447C
149	YDL014W
150	YJL190C
151	YOL077C
152	YHR066W
153	YLL008W
154	YLR435W
155	YJL200C
156	YDR261C
157	YBR238C
158	YGR187C
159	YKR059W
160	YMR032W
161	YOL140W
162	YLR409C
163	YCR072C
164	YGR124W
165	YKL143W
166	YHR065C
167	YNL301C
168	YDR087C
169	YOL144W
170	YJR124C
171	YDL051W
172	YLR413W
173	YML022W
174	YPL211W
175	YOR206W
176	YPL090C
177	YDL201W
178	YMR305C
179	YGL189C
180	YIL078W
181	YDR300C
182	YER043C
183	YDR165W
184	YGR148C
185	YLR405W
186	YLR002C
187	YKL009W
188	YNL132W
189	YLR198C
190	YDL130W
191	YER006W
192	YLR029C
193	YDL167C
194	YDR321W
195	YOR248W
196	YDR047W
197	YOR222W
198	YGL120C
199	YDL208W
200	YPL081W
201	YMR290C
202	YBR247C
203	YGL171W
204	YNL030W
205	YGR085C
206	YGR214W
207	YKL099C
208	YDR101C
209	YDR083W
210	YDR496C
211	YFR005C
212	YKR092C
213	YLR401C
214	YKR081C
215	YOL010W
216	YER055C
217	YHR052W
218	YOL076W
219	YOL120C
220	YLR448W
221	YJL148W
222	YBR181C
223	YOR310C
224	YBR249C
225	YGR103W
226	YLR196W
227	YOL097C
228	YML024W
229	YIL069C
230	YHR047C
231	YER117W
232	YLR197W
233	YDR324C
234	YBR104W
235	YGR108W
236	YLR167W
237	YJR109C
238	YNL292W
239	YDR012W
240	YMR230W
241	YGR173W
242	YML026C
243	YOL093W
244	YNL046W
245	YPR010C
246	YJL136C
247	YER127W
248	YDR060W
249	YBL068W
250	YBL055C
251	YNR054C
252	YHR018C
253	YLR083C
254	YLR441C
255	YDL148C
256	YER056C-A
257	YPL266W
258	YCR057C
259	YGR094W
260	YHR062C
261	YKR094C
262	YFL034C-A
263	YCL037C
264	YDL228C
265	YKL216W
266	YLR009W
267	YFL045C
268	YBR084C-A
269	YMR049C
270	YNL096C
271	YJL168C
272	YGR279C
273	YDR184C
274	YIL148W
275	YPR187W
276	YBL087C
277	YBR121C
278	YJR094W-A
279	YNL061W
280	YPL086C
281	YNL162W
282	YBL003C
283	YGR200C
284	YFR028C
285	YLR449W
286	YDR146C
287	YER126C
288	YDR209C
289	YNR009W
290	YGR271C-A
291	YPR110C
292	YHR013C
293	YOR004W
294	YDR257C
295	YJR143C
296	YKL078W
297	YKL021C
298	YDR412W
299	YHR196W
300	YDR161W
301	YDL003W
302	YCR016W
303	YMR215W
304	YDR299W
305	YLR221C
306	YOR247W
307	YFL001W
308	YHR169W
309	YOL007C
310	YBL009W
311	YGR283C
312	YLR183C
313	YOL121C
314	YPR137W
315	YGR195W
316	YLR146C
317	YPR144C
318	YPR190C
319	YDR500C
320	YHR163W
321	YDL191W
322	YLR339C
323	YNR038W
324	YPL093W
325	YNR050C
326	YIL019W
327	YLR129W
328	YOR212W
329	YOR341W
330	YPL244C
331	YOL040C
332	YDL153C
333	YHR143W
334	YGR185C
335	YGL078C
336	YLR249W
337	YBR068C
338	YLR073C
339	YPL220W
340	YOR243C
341	YGL097W
342	YHR068W
343	YNL209W
344	YGL135W
345	YKR026C
346	YNR003C
347	YPR163C
348	YOR025W
349	YGL099W
350	YDR158W
351	YDR091C
352	YBL032W
353	YAL036C
354	YML093W
355	YLR333C
356	YDL150W
357	YDL060W
358	YDR417C
359	YBL077W
360	YGR027C
361	YDL063C
362	YGL117W
363	YHR141C
364	YOR078W
365	YNR053C
366	YBR115C
367	YPL079W
368	YJL033W
369	YJR069C
370	YJR041C
371	YLR432W
372	YJL188C
373	YHR174W
374	YNL151C
375	YGR158C
376	YAR018C
377	YKL014C
378	YCL054W
379	YNL119W
380	YBR061C
381	YHR085W
382	YJL080C
383	YJR063W
384	YIL091C
385	YNR021W
386	YBL076C
387	YBR162C
388	YDR120C
389	YLR367W
390	YPL163C
391	YJL125C
392	YDR341C
393	YIL103W
394	YDR514C
395	YPR112C
396	YLR075W
397	YOL124C
398	YGR090W
399	YGL030W
400	YGL148W
401	YGL111W
402	YGR118W
403	YGL257C
404	YHL033C
405	YBR142W
406	YHR193C
407	YNL327W
408	YIL131C
409	YNL247W
410	YIL110W
411	YCL064C
412	YGL202W
413	YMR303C
414	YOR361C
415	YPL012W
416	YHR142W
417	YOR359W
418	YDR172W
419	YHR020W
420	YKL181W
421	YLR045C
422	YER118C
423	YKR024C
424	YOL058W
425	YOR198C
426	YLR044C
427	YGR145W
428	YAL023C
429	YBR143C
430	YMR309C
431	YJL056C
432	YJR070C
433	YBL024W
434	YBL054W
435	YLR314C
436	YGL246C
437	YMR269W
438	YGR285C
439	YLL034C
440	YBR291C
441	YBR220C
442	YGR280C
443	YOR234C
444	YDR385W
445	YCL059C
446	YLR276C
447	YDL131W
448	YPR119W
449	YBR158W
450	YMR199W
451	YJL050W
452	YGR078C
453	YDR266C
454	YIL052C
455	YMR229C
456	YLR287C
457	YMR270C
458	YIL145C
459	YIL020C
460	YER090W
461	YJL133W
462	YJR002W
463	YOR073W
464	YOL080C
465	YGL039W
466	YDR037W
467	YMR001C
468	YIL009W
469	YLR355C
470	YJL069C
471	YKR079C
472	YOR305W
473	YDL084W
474	YJR092W
475	YLR084C
476	YMR217W
477	YHR144C
478	YDR021W
479	YDL179W
480	YMR260C
481	YNL110C
482	YAL007C
483	YMR131C
484	YDL136W
485	YKR042W
486	YOR253W
487	YJR147W
488	YJL010C
489	YBR154C
490	YDL198C
491	YDR127W
492	YDR280W
493	YPL199C
494	YDR365C
495	YJL145W
496	YDR234W
497	YNR015W
498	YMR177W
499	YKL205W
500	YOL041C
501	YHR081W
502	YLL018C
503	YHR064C
504	YNL044W
505	YIL021W
506	YLR344W
507	YCL025C
508	YBR175W
509	YMR235C
510	YNL207W
511	YPL226W
512	YPL255W
513	YIL104C
514	YCR045C
515	YHR043C
516	YBR087W
517	YDL050C
518	YPL160W
519	YCL063W
520	YDL164C
521	YGR264C
522	YDR339C
523	YKL184W
524	YGL070C
525	YLR185W
526	YPR175W
527	YOR246C
528	YER016W
529	YOR133W
530	YPL143W
531	YMR146C
532	YKL083W
533	YJR048W
534	YDL166C
535	YOR294W
536	YHR183W
537	YMR194W
538	YNL022C
539	YER168C
540	YOR091W
541	YGL116W
542	YBR164C
543	YNL153C
544	YOR074C
545	YLR172C
546	YPL198W
547	YBR088C
548	YDR465C
549	YGL068W
550	YMR079W
551	YJR003C
552	YHR049W
553	YPL037C
554	YLR130C
555	YOR232W
556	YOR101W
557	YHR170W
558	YKR090W
559	YML082W
560	YCL030C
561	YJL208C
562	YDR429C
563	YJL092W
564	YHR123W
565	YOR021C
566	YNL206C
567	YEL055C
568	YMR308C
569	YOR046C
570	YGL256W
571	YDR309C
572	YNR017W
573	YNL035C
574	YLR285W
575	YBR252W
576	YAL019W
577	YML113W
578	YKL212W
579	YNL313C
580	YMR239C
581	YDL127W
582	YBR038W
583	YLR291C
584	YDL040C
585	YIL064W
586	YJR016C
587	YPR060C
588	YFR009W
589	YGL008C
590	YOL011W
591	YLR008C
592	YOR202W
593	YDR354W
594	YML023C
595	YMR318C
596	YER070W
597	YPR033C
598	YBR187W
599	YML096W
600	YGR172C
601	YNL002C
602	YDL121C
603	YPR043W
604	YGL211W
605	YOR254C
606	YDR035W
607	YKL164C
608	YDL225W
609	YMR321C
610	YKL056C
611	YPL043W
612	YML106W
613	YGR169C
614	YBL005W-A
615	YGR074W
616	YBR130C
617	YDR023W
618	YPR183W
619	YKL172W
620	YOR299W
621	YHR070W
622	YCR065W
623	YLL044W
624	YER026C
625	YGR083C
626	YNR046W
627	YKL211C
628	YLR065C
629	YNL067W
630	YPR120C
631	YJL109C
632	YJL194W
633	YGL155W
634	YGL012W
635	YPL183C
636	YMR310C
637	YGR119C
638	YLR397C
639	YFL037W
640	YML080W
641	YBL028C
642	YNL255C
643	YKL057C
644	YBR177C
645	YLR022C
646	YDL202W
647	YOL031C
648	YPL142C
649	YNL001W
650	YMR062C
651	YER025W
652	YHR025W
653	YBR267W
654	YDL112W
655	YEL026W
656	YBR096W
657	YGR081C
658	YJL198W
659	YPL212C
660	YOL029C
661	YBL057C
662	YHR172W
663	YGR216C
664	YMR259C
665	YLR040C
666	YLR076C
667	YHR063W-A
668	YDR404C
669	YDL205C
670	YHR133C
671	YER107C
672	YMR203W
673	YFR001W
674	YBR243C
675	YJL091C
676	YKR038C
677	YLR068W
678	YCR053W
679	YLR332W
680	YPL256C
681	YGR208W
682	YDL192W
683	YMR014W
684	YER082C
685	YHR148W
686	YLR412W
687	YBR246W
688	YML074C
689	YPL050C
690	YLR293C
691	YJL124C
692	YDR190C
693	YML119W
694	YJR054W
695	YPR080W
696	YBL004W
697	YJR105W
698	YHL001W
699	YBL031W
700	YNL298W
701	YBL072C
702	YNL289W
703	YGR189C
704	YPL197C
705	YBR017C
706	YOR207C
707	YJR007W
708	YFR006W
709	YAL035W
710	YLR354C
711	YNL154C
712	YDL226C
713	YPL252C
714	YPL129W
715	YLR243W
716	YNL124W
717	YOL125W
718	YNL024C
719	YDR370C
720	YPR118W
721	YML124C
722	YOR168W
723	YPR016C
724	YMR128W
725	YJR014W
726	YLR286C
727	YKL127W
728	YPL126W
729	YHL003C
730	YGL195W
731	YPR044C
732	YIL123W
733	YDR509W
734	YHR204W
735	YOL092W
736	YPL235W
737	YNR024W
738	YLR459W
739	YNL029C
740	YPL249C-A
741	YKL144C
742	YOR209C
743	YOL022C
744	YNL282W
745	YKL068W
746	YIL008W
747	YJL143W
748	YOL028C
749	YEL048C
750	YPL237W
751	YJL063C
752	YOL105C
753	YGR162W
754	YGL050W
755	YDR395W
756	YDR361C
757	YCR090C
758	YOR260W
759	YML060W
760	YJL011C
761	YGR040W
762	YNL113W
763	YHR040W
764	YMR241W
765	YCR043C
766	YKL191W
767	YBR171W
768	YEL022W
769	YDL219W
770	YBL082C
771	YJL025W
772	YKL183W
773	YLR316C
774	YDL055C
775	YGR159C
776	YHR162W
777	YLR063W
778	YHL011C
779	YPR041W
780	YJR101W
781	YDR454C
782	YPL241C
783	YML085C
784	YJR076C
785	YOR001W
786	YPL187W
787	YNL066W
788	YOL061W
789	YJL193W
790	YGR245C
791	YGL225W
792	YIL076W
793	YFR036W-A
794	YGR109C
795	YDR152W
796	YHR152W
797	YJR071W
798	YLR110C
799	YGL077C
800	YBR172C
801	YNL308C
802	YLR265C
803	YNL300W
804	YLR342W
805	YJL157C
806	YPR138C
807	YGL102C
808	YOL139C
809	YML064C
810	YDR451C
811	YLR325C
812	YGL200C
813	YKL101W
814	YBR248C
815	YKR013W
816	YGR152C
817	YOR323C
818	YGR063C
819	YKL082C
820	YJR132W
821	YNL058C
822	YOR346W
823	YGL092W
824	YOR169C
825	YDL157C
826	YBR085W
827	YDR400W
828	YDR034C-C
829	YOR205C
830	YNL254C
831	YLR192C
832	YER154W
833	YOR269W
834	YGR286C
835	YGL162W
836	YBR141C
837	YGL028C
838	YLR194C
839	YDR206W
840	YGL063W
841	YMR243C
842	YDR121W
843	YFR051C
844	YPL243W
845	YOR276W
846	YJL138C
847	YOR239W
848	YOL014W
849	YJR111C
850	YMR012W
851	YER124C
852	YER003C
853	YBR192W
854	YBR025C
855	YFL022C
856	YDR413C
857	YDR398W
858	YDL213C
859	YDL031W
860	YER009W
861	YHL020C
862	YJR112W
863	YDR238C
864	YJL035C
865	YNL043C
866	YOR313C
867	YNL114C
868	YIL138C
869	YJL181W
870	YIR012W
871	YHR214C-B
872	YIR021W
873	YER110C
874	YLR429W
875	YAL003W
876	YMR144W
877	YKR053C
878	YDR045C
879	YLR106C
880	YNL170W
881	YEL042W
882	YKL119C
883	YPR052C
884	YHR077C
885	YBR021W
886	YNL085W
887	YGL258W
888	YDL145C
889	YCL011C
890	YDR226W
891	YIL082W
892	YOR201C
893	YLR384C
894	YKL004W
895	YLR132C
896	YPL144W
897	YMR042W
898	YLL002W
899	YIL139C
900	YOR306C
901	YGL253W
902	YAR002C-A
903	YJR009C
904	YGR260W
905	YBR004C
906	YDR487C
907	YDR448W
908	YPL217C
909	YJL211C
910	YMR233W
911	YLL038C
912	YKL130C
913	YER145C-A
914	YHR041C
915	YNL016W
916	YDR174W
917	YKL175W
918	YDR020C
919	YMR123W
920	YJL111W
921	YLR200W
922	YCR059C
923	YJL217W
924	YPL038W
925	YDR268W
926	YDR156W
927	YJL169W
928	YOR277C
929	YGL247W
930	YLR091W
931	YMR274C
932	YCL058C
933	YMR292W
934	YKL122C
935	YNL072W
936	YGR169C-A
937	YPL238C
938	YMR304C-A
939	YFL031W
940	YKL096W
941	YDR185C
942	YDL012C
943	YER146W
944	YOR288C
945	YOR180C
946	YDR112W
947	YKR085C
948	YDL152W
949	YGL069C
950	YLR400W
951	YOR200W
952	YLR042C
953	YNR025C
954	YKL156W
955	YDL241W
956	YGR151C
957	YAR028W
958	YLR341W
959	YJL118W
960	YGR161C-C
961	YDR316W-A
962	YGL103W
963	YJR010C-A
964	YJL218W
965	YDR134C
966	YGR176W
967	YLR261C
968	YPL068C
969	YNL210W
970	YNL089C
971	YAR064W
972	YGL042C
973	YNL090W
974	YGR265W
975	YHL012W
976	YDL062W
977	YIL132C
978	YJR097W
979	YPR027C
980	YIR020C-B
981	YNL174W
982	YMR290W-A
983	YOR314W
984	YNL222W
985	YDR183C-A
986	YFL002W-B
987	YGR161W-A
988	YOR210W
989	YOR010C
990	YHR153C
991	YOR390W
992	YJL222W
993	YEL073C
994	YLR358C
995	YGL226C-A
996	YPL251W
997	YPR142C
998	YBR233W-A
999	YPL124W
1000	YHR070C-A
1001	YGR287C
1002	YML066C
1003	YAL059C-A
1004	YJL179W
1005	YGR228W
1006	YLL052C
1007	YDR344C
1008	YLR363W-A
1009	YBR012C
1010	YAR068W
1011	YGR164W
1012	YGR064W
1013	YHR021C
1014	YBL083C
1015	YDR252W
1016	YBR180W
1017	YHR044C
1018	YBR091C
1019	YFR056C
1020	YDR157W
1021	YOR343W-A
1022	YOR242C
1023	YGR109W-A
1024	YOR218C
1025	YMR153C-A
1026	YCR020W-B
1027	YPL201C
1028	YDR522C
1029	YGL263W
1030	YGL170C
1031	YFL012W
1032	YAL042C-A
1033	YAR030C
1034	YMR001C-A
1035	YOR318C
1036	YPL257W-B
1037	YHR173C
1038	YCR045W-A
1039	YMR244W
1040	YIR043C
1041	YHR014W
1042	YBR058C-A
1043	YJL195C
1044	YER011W
1045	YIL020C-A
1046	YLR112W
1047	YGL230C
1048	YJL160C
1049	YER102W
1050	YPR136C
1051	YOR304C-A
1052	YML122C
1053	YML101C-A
1054	YIL025C
1055	YOL079W
1056	YGR105W
1057	YAR066W
1058	YNL211C
1059	YMR141W-A
1060	YKL037W
1061	YBR174C
1062	YIL082W-A
1063	YDR523C
1064	YPL200W
1065	YBL062W
1066	YFR032C
1067	YMR122C
1068	YOR072W
1069	YER137W-A
