	logFC	logCPM	LR	PValue	FDR
YKR034W	9.12906017536388	9.09398895966654	2062.40825892141	0	0
YGR087C	8.83723775572232	10.6839342176559	1554.4730143384	0	0
YPL223C	8.19155789562706	10.6979569869974	1620.82390586334	0	0
YLR142W	6.97299963187428	9.66583550004901	1514.60775415551	0	0
YKR039W	6.27974812507178	11.1965209230339	1906.51433711715	0	0
YHR096C	6.12520387889646	9.62726084344108	1826.66842769109	0	0
YGL255W	-5.67638878460314	11.371854673823	1709.97933974921	0	0
YDL169C	5.55752051074351	6.68495755021305	1608.28983510324	0	0
YMR107W	7.75564532706574	7.0539848250091	1472.11966277624	4.49599737715534e-322	3.1062401219685e-319
YOL163W	5.94737736586412	5.79717920483288	1415.25870579787	1.0155296820903e-309	6.31456356323747e-307
YNL142W	5.73598266745617	10.7213415725818	1391.0986941551	1.80595168183485e-304	1.02085523251356e-301
YPL054W	6.16922099418467	8.87619772775624	1355.78554136692	8.51991366996204e-297	4.414735266652e-294
YPL036W	4.86470841675871	9.53238099244641	1303.79289037954	1.69423782905113e-285	8.1036698623384e-283
YHL016C	5.6685423970472	9.72987842359695	1296.99861522397	5.07534172194507e-284	2.25417677336103e-281
YLR312C	5.16151609935612	6.48179541546408	1201.05292493848	3.60138255399034e-263	1.49289311471413e-260
YLL057C	6.77446166849967	10.3151354343217	1194.76215724532	8.38746173517842e-262	3.25957731683371e-259
YJR152W	5.19133747783757	9.53064462276275	1166.21885749174	1.33958779243527e-255	4.89973934903677e-253
YPL230W	4.09722830395208	6.50989291675275	1114.37352885829	2.48255361442282e-244	8.57584354137838e-242
YDR070C	7.39940404637515	7.98576728416583	1099.59884583416	4.03713557474026e-241	1.32120573703868e-238
YBL049W	4.90151611176511	7.19618760047512	1069.54833573632	1.37234901356449e-234	4.266633083172e-232
YBR208C	4.40622190182108	9.48114212083787	1063.99551893057	2.20989491596415e-233	6.54339361307861e-231
YNL117W	4.74518822311794	6.88302120861996	1060.29552084776	1.40789743064145e-232	3.97923010169479e-230
YIR030W-A	3.94795998696618	6.27015659470855	1023.84764661847	1.1768134605308e-224	3.1814896076437e-222
YLR134W	-5.06271378963159	9.23920566481378	1004.3385434522	2.04750493513417e-220	5.30474403611012e-218
YLR438W	4.77172110374387	6.97185681510171	995.749939285468	1.50687721150443e-218	3.74790500045382e-216
YHR216W	-3.90478670923837	6.9657328801889	980.205962036179	3.60428588425682e-215	8.61978831858035e-213
YOL020W	-3.81403133922962	6.80942741204004	943.784784783606	2.9770255214853e-207	6.85597951577614e-205
YBR069C	-4.67780794890703	7.43842320544638	941.93275108802	7.52267330912247e-207	1.67057080843298e-204
YOL155C	3.94523976727114	11.1065742141198	921.542231400006	2.0363830517087e-202	4.36628614328439e-200
YER064C	-3.43012489336607	6.7313694202286	920.585340716732	3.28753777790487e-202	6.81396996767083e-200
YDR046C	-4.97997907260513	7.3705153522626	915.304050870196	4.62311715284089e-201	9.27307821173053e-199
YKL107W	4.30774652239631	5.71333750630208	913.678659989466	1.04296361068279e-200	2.026608666008e-198
YOR095C	-4.00347527974753	6.87444331411316	901.021443373789	5.88533731045417e-198	1.10894022413346e-195
YGL147C	-5.40780911598	10.0393925435833	899.146826691945	1.50414760082531e-197	2.75082052409759e-195
YIR028W	5.36611350632128	8.09346278667803	892.875387262619	3.47242386696846e-196	6.16900902994567e-194
YMR196W	3.60187928105146	8.81420146741362	890.916146733922	9.25874993845384e-196	1.59919186436961e-193
