	x
1	YKR034W
2	YGR087C
3	YPL223C
4	YLR142W
5	YKR039W
6	YHR096C
7	YDL169C
8	YMR107W
9	YOL163W
10	YNL142W
11	YPL054W
12	YPL036W
13	YHL016C
14	YLR312C
15	YLL057C
16	YJR152W
17	YPL230W
18	YDR070C
19	YBL049W
20	YBR208C
21	YNL117W
22	YIR030W-A
23	YLR438W
24	YOL155C
25	YKL107W
26	YIR028W
27	YMR196W
28	YBL075C
29	YBR294W
30	YBR105C
31	YPR160W
32	YOR338W
33	YIL160C
34	YOR348C
35	YGR043C
36	YOL084W
37	YMR081C
38	YDL085W
39	YOL162W
40	YHR176W
41	YOR173W
42	YDL210W
43	YGL055W
44	YAL061W
45	YNL194C
46	YIR031C
47	YLL061W
48	YGR256W
49	YJL045W
50	YJL163C
51	YNL014W
52	YLR080W
53	YFL055W
54	YIR038C
55	YDL204W
56	YDL149W
57	YGL096W
58	YDR453C
59	YGR201C
60	YIL101C
61	YLR053C
62	YJR137C
63	YAL067C
64	YPR192W
65	YKL163W
66	YDR277C
67	YJL212C
68	YLR149C
69	YGR066C
70	YDL222C
71	YIL146C
72	YDR253C
73	YLL062C
74	YJL103C
75	YIR027C
76	YPL186C
77	YHR171W
78	YIL136W
79	YER150W
80	YBR230C
81	YJR155W
82	YJR010W
83	YGL184C
84	YPL222W
85	YIR042C
86	YDR223W
87	YNL195C
88	YMR118C
89	YEL060C
90	YDL021W
91	YPL123C
92	YKL026C
93	YLR303W
94	YDL238C
95	YLL055W
96	YGR088W
97	YEL072W
98	YFL054C
99	YGR154C
100	YER096W
101	YPR151C
102	YHR092C
103	YBR203W
104	YDL239C
105	YCR068W
106	YIL097W
107	YLR299W
108	YGL156W
109	YDL059C
110	YLR092W
111	YMR105C
112	YAL054C
113	YOR120W
114	YDL199C
115	YEL011W
116	YDR001C
117	YPR030W
118	YLR174W
119	YIL166C
120	YMR181C
121	YNL191W
122	YBR280C
123	YCR021C
124	YOR003W
125	YNL115C
126	YML128C
127	YKR049C
128	YPR150W
129	YMR169C
130	YIL055C
131	YHL036W
132	YLR164W
133	YGL121C
134	YPR026W
135	YER054C
136	YOL153C
137	YLR356W
138	YBR006W
139	YKR075C
140	YIL071C
141	YIL165C
142	YFR030W
143	YPL017C
144	YAL034C
145	YEL066W
146	YDL223C
147	YPL171C
148	YER079W
149	YNL200C
150	YKR076W
151	YJL057C
152	YKL050C
153	YFR017C
154	YAL062W
155	YKR033C
156	YPL119C
157	YIL155C
158	YOL126C
159	YIL167W
160	YBR169C
161	YIL045W
162	YJL155C
163	YML131W
164	YMR090W
165	YBR213W
166	YPL229W
167	YIL164C
168	YIL099W
169	YIR029W
170	YLR155C
171	YLR157C
172	YLR160C
173	YFL030W
174	YLR158C
175	YOL083W
176	YNL277W
177	YLR327C
178	YER158C
179	YHR202W
180	YCL048W-A
181	YER045C
182	YER042W
183	YKL151C
184	YPR061C
185	YIL107C
186	YPR184W
187	YGR070W
188	YOR374W
189	YPL165C
190	YHR112C
191	YLL056C
192	YMR191W
193	YJL026W
194	YJR008W
195	YBR241C
196	YOR032C
197	YGL180W
198	YOR289W
199	YPR167C
200	YOR062C
201	YOL071W
202	YKL001C
203	YBR157C
204	YJL060W
205	YJL164C
206	YGR019W
207	YEL012W
208	YHR138C
209	YIL050W
210	YPL088W
211	YDR085C
212	YHR097C
213	YKL133C
214	YBR114W
215	YNR068C
216	YEL039C
217	YOR040W
218	YNR034W-A
219	YFL021W
220	YGR161C
221	YDR030C
222	YER091C
223	YPL213W
